カテゴリ,品名,単位,1単位の目安g,数え方,別名(検索用),数値の作り方,備考
丼・ワンプレート,タコライス 1人前,人前,400,人前(0.5刻み),たこらいす,積算,
丼・ワンプレート,ガパオライス 1人前,人前,400,人前(0.5刻み),がぱお,積算,
丼・ワンプレート,オムライス 1人前,人前,410,人前(0.5刻み),おむらいす,積算,デモ済(666kcal)
丼・ワンプレート,チャーハン 1人前,人前,300,人前(0.5刻み),ちゃーはん/炒飯/焼き飯,転記,成分表にあり
丼・ワンプレート,エビピラフ 1人前,人前,300,人前(0.5刻み),ぴらふ,転記,成分表にあり
丼・ワンプレート,チキンライス 1人前,人前,300,人前(0.5刻み),ちきんらいす,転記,成分表にあり
丼・ワンプレート,ドリア 1人前,人前,350,人前(0.5刻み),どりあ,積算,
丼・ワンプレート,リゾット 1人前,人前,300,人前(0.5刻み),りぞっと,積算,
丼・ワンプレート,ビビンバ 1人前,人前,450,人前(0.5刻み),びびんば,積算,
丼・ワンプレート,ルーロー飯 1杯,杯,400,杯(0.5刻み),るーろーはん/魯肉飯,積算,
丼・ワンプレート,寿司(にぎり10貫) 1人前,人前,350,人前(0.5刻み),すし/おすし/握り,積算,
丼・ワンプレート,いなり寿司 1個,個,60,個,いなり,転記,成分表にあり
丼・ワンプレート,巻き寿司(太巻き) 1切れ,個,50,個,まきずし/のり巻き,転記,
丼・ワンプレート,ちらし寿司 1人前,人前,350,人前(0.5刻み),ちらし,転記,成分表にあり
麺類,かけうどん 1杯,杯,450,杯(0.5刻み),うどん,積算,汁込み
麺類,きつねうどん 1杯,杯,500,杯(0.5刻み),きつね,転記,成分表にあり
麺類,肉うどん 1杯,杯,500,杯(0.5刻み),にくうどん,積算,
麺類,天ぷらうどん 1杯,杯,500,杯(0.5刻み),てんぷらうどん,積算,
麺類,カレーうどん 1杯,杯,550,杯(0.5刻み),かれーうどん,積算,
麺類,焼きうどん 1人前,人前,350,人前(0.5刻み),やきうどん,積算,
麺類,ざるそば 1人前,人前,300,人前(0.5刻み),そば/もりそば,積算,つゆ込み
麺類,かけそば 1杯,杯,450,杯(0.5刻み),かけ,積算,
麺類,月見そば 1杯,杯,500,杯(0.5刻み),つきみ,積算,
麺類,天ぷらそば 1杯,杯,500,杯(0.5刻み),てんぷらそば,転記,成分表にあり
麺類,鴨南蛮そば 1杯,杯,520,杯(0.5刻み),かもなんばん,積算,
麺類,山かけそば 1杯,杯,500,杯(0.5刻み),やまかけ/とろろそば,積算,
麺類,そうめん 1人前,人前,270,人前(0.5刻み),素麺/にゅうめん,積算,ゆで270g+つゆ
麺類,醤油ラーメン 1杯,杯,550,杯(0.5刻み),らーめん/ラーメン,転記,成分表にあり
麺類,味噌ラーメン 1杯,杯,580,杯(0.5刻み),みそらーめん,積算,
麺類,塩ラーメン 1杯,杯,550,杯(0.5刻み),しおらーめん,転記,成分表にあり
麺類,とんこつラーメン 1杯,杯,550,杯(0.5刻み),とんこつ,積算,
麺類,つけ麺 1人前,人前,600,人前(0.5刻み),つけめん,積算,
麺類,担々麺 1杯,杯,580,杯(0.5刻み),たんたんめん,積算,
麺類,冷やし中華 1人前,人前,450,人前(0.5刻み),ひやしちゅうか,転記,成分表にあり
麺類,焼きそば 1人前,人前,350,人前(0.5刻み),やきそば/ソース焼きそば,転記,成分表にあり
麺類,あんかけ焼きそば 1人前,人前,450,人前(0.5刻み),あんかけ,積算,
麺類,ちゃんぽん 1杯,杯,600,杯(0.5刻み),ちゃんぽん,積算,
麺類,沖縄そば 1杯,杯,550,杯(0.5刻み),おきなわそば/ソーキそば,積算,
麺類,ミートソーススパゲッティ 1人前,人前,350,人前(0.5刻み),みーとそーす/ボロネーゼ,転記,成分表にあり
麺類,ナポリタン 1人前,人前,350,人前(0.5刻み),なぽりたん,転記,成分表にあり
麺類,カルボナーラ 1人前,人前,320,人前(0.5刻み),かるぼなーら,積算,
麺類,ペペロンチーノ 1人前,人前,280,人前(0.5刻み),ぺぺろん,転記,成分表にあり
麺類,たらこスパゲッティ 1人前,人前,300,人前(0.5刻み),たらこぱすた,積算,
麺類,和風きのこパスタ 1人前,人前,320,人前(0.5刻み),きのこぱすた,積算,
麺類,トマトソースパスタ 1人前,人前,330,人前(0.5刻み),とまとぱすた,積算,
麺類,ジェノベーゼ 1人前,人前,300,人前(0.5刻み),じぇのべーぜ/バジル,積算,
麺類,ラザニア 1人前,人前,300,人前(0.5刻み),らざにあ,積算,
麺類,グラタン(マカロニ) 1人前,人前,300,人前(0.5刻み),ぐらたん,転記,成分表にあり
麺類,ビーフン(焼き) 1人前,人前,250,人前(0.5刻み),びーふん,転記,
麺類,フォー 1杯,杯,450,杯(0.5刻み),ふぉー,積算,
麺類,パッタイ 1人前,人前,350,人前(0.5刻み),ぱったい,積算,
麺類,冷麺(盛岡風) 1人前,人前,450,人前(0.5刻み),れいめん,積算,
麺類,カップラーメン 1個,個,78,個,かっぷめん/カップ麺,市販平均,標準サイズ・湯込みでなく麺量78g
麺類,カップ焼きそば 1個,個,130,個,かっぷやきそば/ペヤング,市販平均,
肉料理,鶏の唐揚げ 1個,個,30,個,からあげ/竜田揚げ,積算,3個=1人前の案内
肉料理,鶏の照り焼き 1人前,人前,120,人前(0.5刻み),てりやき/照焼チキン,積算,
肉料理,焼き鳥(もも・タレ) 1本,本,45,本,やきとり,転記,成分表にあり
肉料理,焼き鳥(ねぎま) 1本,本,45,本,ねぎま,積算,
肉料理,焼き鳥(皮) 1本,本,30,本,かわ,積算,
肉料理,焼き鳥(ささみ) 1本,本,40,本,ささみぐし,積算,
肉料理,チキンステーキ 1枚,枚,200,枚(0.5刻み),ちきんすてーき,積算,もも1枚
肉料理,グリルチキン(むね) 1枚,枚,150,枚(0.5刻み),ぐりるちきん,積算,
肉料理,チキン南蛮 1人前,人前,180,人前(0.5刻み),ちきんなんばん,積算,タルタル込み
肉料理,鶏むねの塩麹焼き 1人前,人前,150,人前(0.5刻み),しおこうじ,積算,
肉料理,蒸し鶏(よだれ鶏) 1人前,人前,150,人前(0.5刻み),むしどり/よだれどり,積算,
肉料理,棒々鶏 1人前,人前,150,人前(0.5刻み),ばんばんじー,積算,
肉料理,豚の生姜焼き 1人前,人前,150,人前(0.5刻み),しょうがやき,転記,成分表にあり(ぶた生姜焼き)
肉料理,豚しゃぶ(冷しゃぶ) 1人前,人前,150,人前(0.5刻み),ひやしゃぶ/れいしゃぶ,積算,タレ別
肉料理,とんかつ(ロース) 1枚,枚,150,枚(0.5刻み),とんかつ,転記,成分表にあり
肉料理,とんかつ(ヒレ) 1人前,人前,120,人前(0.5刻み),ひれかつ,転記,成分表にあり
肉料理,豚の角煮 1人前,人前,150,人前(0.5刻み),かくに,積算,
肉料理,豚キムチ炒め 1人前,人前,180,人前(0.5刻み),ぶたきむち,積算,
肉料理,回鍋肉 1人前,人前,200,人前(0.5刻み),ほいこーろー,転記,成分表にあり
肉料理,豚バラ焼き(サムギョプサル) 1人前,人前,150,人前(0.5刻み),さむぎょぷさる,積算,
肉料理,ハンバーグ 1個,個,150,個(0.5刻み),はんばーぐ,転記,成分表にあり(合いびき)
肉料理,チーズハンバーグ 1個,個,170,個(0.5刻み),ちーずはんばーぐ,積算,
肉料理,豆腐ハンバーグ 1個,個,150,個(0.5刻み),とうふはんばーぐ,転記,成分表にあり
肉料理,ビーフステーキ(サーロイン) 1枚,枚,200,枚(0.5刻み),すてーき/ステーキ,積算,
肉料理,ビーフステーキ(赤身・ヒレ) 1枚,枚,150,枚(0.5刻み),あかみすてーき,積算,
肉料理,焼肉(カルビ) 1人前,人前,100,人前(0.5刻み),かるび,積算,タレ込み
肉料理,焼肉(ロース) 1人前,人前,100,人前(0.5刻み),やきにく,積算,タレ込み
肉料理,焼肉(ハラミ) 1人前,人前,100,人前(0.5刻み),はらみ,積算,
肉料理,焼肉(タン) 1人前,人前,80,人前(0.5刻み),たん/牛タン,積算,
肉料理,ローストビーフ 1人前,人前,80,人前(0.5刻み),ろーすとびーふ,転記,
肉料理,牛すじ煮込み 1人前,人前,150,人前(0.5刻み),ぎゅうすじ,積算,
肉料理,肉じゃが 1人前,人前,200,人前(0.5刻み),にくじゃが,転記,成分表にあり
肉料理,青椒肉絲 1人前,人前,180,人前(0.5刻み),ちんじゃおろーす,転記,成分表にあり
肉料理,ミートボール 3個,人前,90,人前(0.5刻み),みーとぼーる/肉団子,転記,成分表にあり
肉料理,メンチカツ 1個,個,90,個,めんちかつ,転記,成分表にあり
肉料理,コロッケ(ポテト) 1個,個,80,個,ころっけ,転記,成分表にあり
肉料理,ロールキャベツ 1個,個,120,個,ろーるきゃべつ,積算,
肉料理,餃子 1個,個,25,個,ぎょうざ,転記,成分表にあり
肉料理,シュウマイ 1個,個,25,個,しゅうまい/焼売,転記,成分表にあり
肉料理,春巻き 1本,本,60,本,はるまき,転記,成分表にあり
肉料理,酢豚 1人前,人前,200,人前(0.5刻み),すぶた,転記,成分表にあり
肉料理,麻婆豆腐 1人前,人前,220,人前(0.5刻み),まーぼーどうふ,転記,成分表にあり
肉料理,麻婆茄子 1人前,人前,200,人前(0.5刻み),まーぼーなす,積算,
肉料理,ジンギスカン 1人前,人前,150,人前(0.5刻み),じんぎすかん/ラム,積算,
肉料理,ソーセージ 1本,本,20,本,そーせーじ/ウインナー,転記,
肉料理,ベーコン 1枚,枚,17,枚,べーこん,転記,
肉料理,ハム(ロース) 1枚,枚,15,枚,はむ,転記,
肉料理,生ハム 3枚,人前,30,人前(0.5刻み),なまはむ,転記,
肉料理,鶏レバー煮 1人前,人前,80,人前(0.5刻み),ればー/レバニラ用,積算,
肉料理,レバニラ炒め 1人前,人前,180,人前(0.5刻み),ればにら,積算,
肉料理,もつ煮込み 1人前,人前,180,人前(0.5刻み),もつに,積算,
魚料理,鮭の塩焼き 1切れ,個,80,個,しゃけ/やきざかな,積算,
魚料理,銀鮭の塩焼き 1切れ,個,80,個,ぎんじゃけ,積算,
魚料理,サバの塩焼き 1切れ,個,90,個,さば/鯖,積算,
魚料理,サバの味噌煮 1切れ,個,120,個,さばみそ,転記,成分表にあり
魚料理,アジの開き 1枚,枚,90,枚,あじ/干物,積算,
魚料理,ホッケの開き 半身,人前,150,人前(0.5刻み),ほっけ,積算,
魚料理,サンマの塩焼き 1尾,本,100,本,さんま/秋刀魚,積算,
魚料理,イワシの塩焼き 1尾,本,60,本,いわし,積算,
魚料理,ブリの照り焼き 1切れ,個,90,個,ぶりてり,転記,成分表にあり
魚料理,ぶり大根 1人前,人前,250,人前(0.5刻み),ぶりだいこん,積算,
魚料理,カレイの煮付け 1切れ,個,120,個,かれい/煮魚,積算,
魚料理,金目鯛の煮付け 1切れ,個,120,個,きんめだい,積算,
魚料理,タラの塩焼き 1切れ,個,80,個,たら/鱈,積算,
魚料理,ムニエル(タラ・鮭) 1切れ,個,100,個,むにえる,積算,
魚料理,アクアパッツァ 1人前,人前,250,人前(0.5刻み),あくあぱっつぁ,積算,
魚料理,アジフライ 1枚,枚,80,枚,あじふらい,転記,成分表にあり
魚料理,白身魚フライ 1枚,枚,80,枚,しろみふらい,転記,成分表にあり
魚料理,エビフライ 1本,本,40,本,えびふらい,転記,成分表にあり
魚料理,カキフライ 1個,個,40,個,かきふらい,転記,成分表にあり
魚料理,天ぷら盛り合わせ 1人前,人前,150,人前(0.5刻み),てんぷら,積算,エビ2・野菜3想定
魚料理,エビの天ぷら 1本,本,35,本,えびてん,転記,成分表にあり
魚料理,エビチリ 1人前,人前,180,人前(0.5刻み),えびちり,転記,成分表にあり
魚料理,エビマヨ 1人前,人前,150,人前(0.5刻み),えびまよ,積算,
魚料理,刺身盛り合わせ 1人前,人前,120,人前(0.5刻み),さしみ/お造り,積算,7切れ想定
魚料理,マグロ刺身(赤身) 5切れ,人前,60,人前(0.5刻み),まぐろ,転記,
魚料理,サーモン刺身 5切れ,人前,60,人前(0.5刻み),さーもんさしみ,転記,
魚料理,カツオのたたき 1人前,人前,100,人前(0.5刻み),かつお,転記,
魚料理,しらす(釜揚げ) 大さじ2,人前,20,人前(0.5刻み),しらす,転記,
魚料理,ちくわ 1本,本,30,本,竹輪,転記,
魚料理,かまぼこ 2切れ,人前,30,人前(0.5刻み),蒲鉾,転記,
魚料理,カニカマ 1本,本,15,本,かにかま,転記,
魚料理,さつま揚げ 1枚,枚,60,枚,さつまあげ,転記,
魚料理,はんぺん 1枚,枚,100,枚,はんぺん,転記,
魚料理,ツナ缶(水煮) 1缶,個,70,個,つな/シーチキン,転記,
魚料理,ツナ缶(油漬) 1缶,個,70,個,つなあぶら,転記,
魚料理,イワシ缶(味付) 1缶,個,100,個,いわしかん,転記,
魚料理,エビ(ボイル) 5尾,人前,60,人前(0.5刻み),えび/海老,転記,
魚料理,イカ(刺身・焼き) 1人前,人前,80,人前(0.5刻み),いか,転記,
魚料理,タコ(ゆで) 1人前,人前,80,人前(0.5刻み),たこ,転記,
魚料理,ホタテ(刺身・焼き) 3個,人前,60,人前(0.5刻み),ほたて,転記,
魚料理,あさりの酒蒸し 1人前,人前,120,人前(0.5刻み),あさり,積算,殻付き換算は備考
魚料理,牡蠣(生・蒸し) 3個,人前,60,人前(0.5刻み),かき,転記,
魚料理,うなぎの蒲焼 1串,人前,100,人前(0.5刻み),うなぎかばやき,転記,
卵・大豆・乳,ゆで卵 1個,個,50,個,ゆでたまご,転記,
卵・大豆・乳,目玉焼き 1個,個,55,個,めだまやき,積算,油込み
卵・大豆・乳,スクランブルエッグ 卵2個分,人前,120,人前(0.5刻み),すくらんぶる/炒り卵,積算,
卵・大豆・乳,だし巻き卵 2切れ,人前,80,人前(0.5刻み),だしまき/卵焼き,転記,成分表にあり
卵・大豆・乳,オムレツ(プレーン) 1個,人前,120,人前(0.5刻み),おむれつ,転記,成分表にあり
卵・大豆・乳,温泉卵 1個,個,50,個,おんせんたまご/おんたま,転記,
卵・大豆・乳,茶碗蒸し 1個,個,150,個,ちゃわんむし,転記,成分表にあり
卵・大豆・乳,ニラ玉 1人前,人前,150,人前(0.5刻み),にらたま,積算,
卵・大豆・乳,かに玉 1人前,人前,200,人前(0.5刻み),かにたま/天津飯の具,積算,
卵・大豆・乳,冷奴 1人前,人前,150,人前(0.5刻み),ひややっこ,積算,豆腐半丁+薬味
卵・大豆・乳,湯豆腐 1人前,人前,200,人前(0.5刻み),ゆどうふ,積算,
卵・大豆・乳,揚げ出し豆腐 1人前,人前,150,人前(0.5刻み),あげだしどうふ,積算,
卵・大豆・乳,絹ごし豆腐 100g,g,100,g(10刻み),きぬごし,転記,既存木綿と対
卵・大豆・乳,厚揚げ(焼き) 1/2枚,人前,100,人前(0.5刻み),あつあげ,転記,
卵・大豆・乳,油揚げ 1枚,枚,30,枚,あぶらあげ,転記,
卵・大豆・乳,高野豆腐の煮物 1人前,人前,100,人前(0.5刻み),こうやどうふ,積算,
卵・大豆・乳,おから(卯の花) 小鉢1,人前,80,人前(0.5刻み),うのはな/おから,転記,成分表にあり
卵・大豆・乳,豆乳(調製) コップ1杯,杯,200,杯(0.5刻み),ちょうせいとうにゅう,転記,無調整は既存
卵・大豆・乳,牛乳 コップ1杯,杯,200,杯(0.5刻み),ぎゅうにゅう/ミルク,転記,
卵・大豆・乳,低脂肪乳 コップ1杯,杯,200,杯(0.5刻み),ていしぼうにゅう,転記,
卵・大豆・乳,飲むヨーグルト コップ1杯,杯,180,杯(0.5刻み),のむよーぐると,転記,
卵・大豆・乳,ヨーグルト(加糖) 1個,個,80,個,かとうよーぐると,転記,
卵・大豆・乳,カッテージチーズ 大さじ2,人前,30,人前(0.5刻み),かってーじ,転記,
卵・大豆・乳,モッツァレラチーズ 1/2個,人前,50,人前(0.5刻み),もっつぁれら,転記,
卵・大豆・乳,カマンベールチーズ 1/4個,人前,25,人前(0.5刻み),かまんべーる,転記,
鍋・汁物,味噌汁(豆腐・わかめ) 1杯,杯,180,杯(0.5刻み),みそしる/おみそしる,積算,
鍋・汁物,味噌汁(なめこ) 1杯,杯,180,杯(0.5刻み),なめこじる,積算,
鍋・汁物,豚汁 1杯,杯,250,杯(0.5刻み),とんじる/ぶたじる,転記,成分表にあり
鍋・汁物,けんちん汁 1杯,杯,250,杯(0.5刻み),けんちん,転記,成分表にあり
鍋・汁物,すまし汁 1杯,杯,180,杯(0.5刻み),おすまし/お吸い物,積算,
鍋・汁物,あら汁 1杯,杯,250,杯(0.5刻み),あらじる,積算,
鍋・汁物,コーンスープ 1杯,杯,180,杯(0.5刻み),こーんすーぷ/ポタージュ,転記,成分表にあり
鍋・汁物,ミネストローネ 1杯,杯,200,杯(0.5刻み),みねすとろーね,積算,
鍋・汁物,クラムチャウダー 1杯,杯,200,杯(0.5刻み),くらむちゃうだー,積算,
鍋・汁物,オニオンスープ 1杯,杯,180,杯(0.5刻み),おにおんすーぷ,積算,
鍋・汁物,わかめスープ 1杯,杯,180,杯(0.5刻み),わかめすーぷ,積算,
鍋・汁物,卵スープ 1杯,杯,180,杯(0.5刻み),たまごすーぷ,積算,
鍋・汁物,参鶏湯風スープ 1人前,人前,350,人前(0.5刻み),さむげたん,積算,
鍋・汁物,寄せ鍋 1人前,人前,400,人前(0.5刻み),よせなべ,積算,〆別
鍋・汁物,水炊き 1人前,人前,400,人前(0.5刻み),みずたき/鶏鍋,積算,ポン酢込み
鍋・汁物,しゃぶしゃぶ(豚) 1人前,人前,300,人前(0.5刻み),しゃぶしゃぶ,積算,タレ込み
鍋・汁物,すき焼き 1人前,人前,350,人前(0.5刻み),すきやき,転記,成分表にあり
鍋・汁物,キムチ鍋 1人前,人前,400,人前(0.5刻み),きむちなべ/チゲ,積算,
鍋・汁物,スンドゥブチゲ 1人前,人前,350,人前(0.5刻み),すんどぅぶ,積算,
鍋・汁物,もつ鍋 1人前,人前,350,人前(0.5刻み),もつなべ,積算,
鍋・汁物,おでん(定番5品) 1人前,人前,400,人前(0.5刻み),おでん,積算,卵・大根・こんにゃく・ちくわ・厚揚げ
鍋・汁物,おでん(大根) 1個,個,80,個,おでんだいこん,転記,
鍋・汁物,おでん(卵) 1個,個,55,個,おでんたまご,転記,
鍋・汁物,おでん(しらたき) 1個,個,80,個,おでんしらたき,転記,
鍋・汁物,湯どうふ鍋(1人鍋) 1人前,人前,350,人前(0.5刻み),ひとりなべ,積算,
副菜・野菜,野菜炒め 1人前,人前,180,人前(0.5刻み),やさいいため,転記,成分表にあり
副菜・野菜,もやし炒め 1人前,人前,150,人前(0.5刻み),もやしいため,積算,
副菜・野菜,ほうれん草のおひたし 小鉢1,人前,60,人前(0.5刻み),おひたし,転記,成分表にあり
副菜・野菜,小松菜のおひたし 小鉢1,人前,60,人前(0.5刻み),こまつなおひたし,積算,
副菜・野菜,ほうれん草の胡麻和え 小鉢1,人前,60,人前(0.5刻み),ごまあえ,転記,成分表にあり
副菜・野菜,いんげんの胡麻和え 小鉢1,人前,60,人前(0.5刻み),いんげん,転記,成分表にあり
副菜・野菜,きんぴらごぼう 小鉢1,人前,60,人前(0.5刻み),きんぴら,転記,成分表にあり
副菜・野菜,ひじきの煮物 小鉢1,人前,60,人前(0.5刻み),ひじき,転記,成分表にあり
副菜・野菜,切り干し大根の煮物 小鉢1,人前,60,人前(0.5刻み),きりぼし,転記,成分表にあり
副菜・野菜,かぼちゃの煮物 小鉢1,人前,100,人前(0.5刻み),かぼちゃ,転記,成分表にあり
副菜・野菜,里芋の煮物 小鉢1,人前,100,人前(0.5刻み),さといも,積算,
副菜・野菜,筑前煮 1人前,人前,150,人前(0.5刻み),ちくぜんに/がめ煮,転記,成分表にあり
副菜・野菜,なすの煮浸し 小鉢1,人前,80,人前(0.5刻み),にびたし,積算,
副菜・野菜,なすの味噌炒め 1人前,人前,120,人前(0.5刻み),なすみそ,積算,
副菜・野菜,ゴーヤチャンプルー 1人前,人前,180,人前(0.5刻み),ごーやちゃんぷる,積算,
副菜・野菜,ラタトゥイユ 1人前,人前,150,人前(0.5刻み),らたとぅいゆ,積算,
副菜・野菜,アスパラベーコン 1人前,人前,80,人前(0.5刻み),あすぱら,積算,
副菜・野菜,ブロッコリーの塩ゆで 小鉢1,人前,80,人前(0.5刻み),ぶろっこりーゆで,転記,既存g指定と二本立て
副菜・野菜,オクラのおかか和え 小鉢1,人前,50,人前(0.5刻み),おくら,積算,
副菜・野菜,冷やしトマト 1人前,人前,100,人前(0.5刻み),ひやしとまと,転記,
副菜・野菜,枝豆 1人前,人前,60,人前(0.5刻み),えだまめさや,転記,既存g指定と二本立て・可食部
副菜・野菜,もろきゅう 1人前,人前,80,人前(0.5刻み),きゅうり/もろきゅう,積算,
副菜・野菜,たたききゅうり 小鉢1,人前,80,人前(0.5刻み),たたききゅうり,積算,
副菜・野菜,キャベツの千切り 付け合わせ1,人前,50,人前(0.5刻み),せんぎり,転記,
副菜・野菜,コールスロー 小鉢1,人前,80,人前(0.5刻み),こーるすろー,転記,成分表にあり
副菜・野菜,ポテトサラダ 小鉢1,人前,100,人前(0.5刻み),ぽてさら,転記,成分表にあり
副菜・野菜,マカロニサラダ 小鉢1,人前,80,人前(0.5刻み),まかろにさらだ,積算,
副菜・野菜,かぼちゃサラダ 小鉢1,人前,80,人前(0.5刻み),かぼちゃさらだ,積算,
副菜・野菜,グリーンサラダ 1皿,人前,80,人前(0.5刻み),さらだ/サラダ,積算,ドレッシング別
副菜・野菜,シーザーサラダ 1皿,人前,120,人前(0.5刻み),しーざー,積算,ドレッシング込み
副菜・野菜,海藻サラダ 1皿,人前,80,人前(0.5刻み),かいそう,積算,
副菜・野菜,大根サラダ 1皿,人前,80,人前(0.5刻み),だいこんさらだ,積算,
副菜・野菜,トマトとモッツァレラのカプレーゼ 1人前,人前,120,人前(0.5刻み),かぷれーぜ,積算,
副菜・野菜,ナムル盛り合わせ 小鉢1,人前,60,人前(0.5刻み),なむる,積算,
副菜・野菜,チョレギサラダ 1皿,人前,90,人前(0.5刻み),ちょれぎ,積算,
副菜・野菜,野菜スティック 1人前,人前,100,人前(0.5刻み),すてぃっく,積算,味噌マヨ込み
副菜・野菜,浅漬け(きゅうり・白菜) 小鉢1,人前,50,人前(0.5刻み),あさづけ/つけもの,転記,
